"","ID","status_conta","duracao_mes","hist_credito","qtdd_credito","percen_tx_rendim_disp","dev_fiadores","outros_par","n_creditos","classe"
"1",1,"Negativo",6,"Pendente (outros bancos)",1169,4,"nenhum","nenhum",2,"Bom"
"2",2,"Regular",48,"Pago em dia",5951,2,"nenhum","nenhum",1,"Ruim"
"3",3,"Inexistente",12,"Pendente (outros bancos)",2096,2,"nenhum","nenhum",1,"Bom"
"4",4,"Negativo",42,"Pago em dia",7882,2,"fiador","nenhum",1,"Bom"
"5",5,"Negativo",24,"Pago mas já esteve em atraso",4870,3,"nenhum","nenhum",2,"Ruim"
"6",6,"Inexistente",36,"Pago em dia",9055,2,"nenhum","nenhum",1,"Bom"
"7",7,"Inexistente",24,"Pago em dia",2835,3,"nenhum","nenhum",1,"Bom"
"8",8,"Regular",36,"Pago em dia",6948,2,"nenhum","nenhum",1,"Bom"
"9",9,"Inexistente",12,"Pago em dia",3059,2,"nenhum","nenhum",1,"Bom"
"10",10,"Regular",30,"Pendente (outros bancos)",5234,4,"nenhum","nenhum",2,"Ruim"
"11",11,"Regular",12,"Pago em dia",1295,3,"nenhum","nenhum",1,"Ruim"
"12",12,"Negativo",48,"Pago em dia",4308,3,"nenhum","nenhum",1,"Ruim"
"13",13,"Regular",12,"Pago em dia",1567,1,"nenhum","nenhum",1,"Bom"
"14",14,"Negativo",24,"Pendente (outros bancos)",1199,4,"nenhum","nenhum",2,"Ruim"
"15",15,"Negativo",15,"Pago em dia",1403,2,"nenhum","nenhum",1,"Bom"
"16",16,"Negativo",24,"Pago em dia",1282,4,"nenhum","nenhum",1,"Ruim"
"17",17,"Inexistente",24,"Pendente (outros bancos)",2424,4,"nenhum","nenhum",2,"Bom"
"18",18,"Negativo",30,"Quitados",8072,2,"nenhum","banco",3,"Bom"
"19",19,"Regular",24,"Pago em dia",12579,4,"nenhum","nenhum",1,"Ruim"
"20",20,"Inexistente",24,"Pago em dia",3430,3,"nenhum","nenhum",1,"Bom"
"21",21,"Inexistente",9,"Pendente (outros bancos)",2134,4,"nenhum","nenhum",3,"Bom"
"22",22,"Negativo",6,"Pago em dia",2647,2,"nenhum","nenhum",1,"Bom"
"23",23,"Negativo",10,"Pendente (outros bancos)",2241,1,"nenhum","nenhum",2,"Bom"
"24",24,"Regular",12,"Pendente (outros bancos)",1804,3,"nenhum","nenhum",1,"Bom"
"25",25,"Inexistente",10,"Pendente (outros bancos)",2069,2,"nenhum","nenhum",2,"Bom"
"26",26,"Negativo",6,"Pago em dia",1374,1,"nenhum","banco",1,"Bom"
"27",27,"Inexistente",6,"Quitados",426,4,"nenhum","nenhum",1,"Bom"
"28",28,"Alto",12,"Quitados",409,3,"nenhum","nenhum",2,"Bom"
"29",29,"Regular",7,"Pago em dia",2415,3,"fiador","nenhum",1,"Bom"
"30",30,"Negativo",60,"Pago mas já esteve em atraso",6836,3,"nenhum","nenhum",2,"Ruim"
"31",31,"Regular",18,"Pago em dia",1913,3,"nenhum","banco",1,"Bom"
"32",32,"Negativo",24,"Pago em dia",4020,2,"nenhum","lojas",1,"Bom"
"33",33,"Regular",18,"Pago em dia",5866,2,"nenhum","nenhum",2,"Bom"
"34",34,"Inexistente",12,"Pendente (outros bancos)",1264,4,"nenhum","nenhum",1,"Bom"
"35",35,"Alto",12,"Pago em dia",1474,4,"nenhum","banco",1,"Bom"
"36",36,"Regular",45,"Pendente (outros bancos)",4746,4,"nenhum","nenhum",2,"Ruim"
"37",37,"Inexistente",48,"Pendente (outros bancos)",6110,1,"nenhum","banco",1,"Bom"
"38",38,"Alto",18,"Pago em dia",2100,4,"co-requerente","lojas",1,"Ruim"
"39",39,"Alto",10,"Pago em dia",1225,2,"nenhum","nenhum",1,"Bom"
"40",40,"Regular",9,"Pago em dia",458,4,"nenhum","nenhum",1,"Bom"
"41",41,"Inexistente",30,"Pago em dia",2333,4,"nenhum","banco",1,"Bom"
"42",42,"Regular",12,"Pago em dia",1158,3,"nenhum","nenhum",1,"Bom"
"43",43,"Regular",18,"Pago mas já esteve em atraso",6204,2,"nenhum","nenhum",1,"Bom"
"44",44,"Negativo",30,"Pendente (outros bancos)",6187,1,"nenhum","nenhum",2,"Bom"
"45",45,"Negativo",48,"Pendente (outros bancos)",6143,4,"nenhum","lojas",2,"Ruim"
"46",46,"Inexistente",11,"Pendente (outros bancos)",1393,4,"nenhum","nenhum",2,"Bom"
"47",47,"Inexistente",36,"Pago em dia",2299,4,"nenhum","nenhum",1,"Bom"
"48",48,"Negativo",6,"Pago em dia",1352,1,"nenhum","nenhum",1,"Bom"
"49",49,"Inexistente",11,"Pendente (outros bancos)",7228,1,"nenhum","nenhum",2,"Bom"
"50",50,"Inexistente",12,"Pago em dia",2073,4,"co-requerente","nenhum",1,"Bom"
"51",51,"Regular",24,"Pago mas já esteve em atraso",2333,4,"nenhum","banco",1,"Bom"
"52",52,"Regular",27,"Pago mas já esteve em atraso",5965,1,"nenhum","nenhum",2,"Bom"
"53",53,"Inexistente",12,"Pago em dia",1262,3,"nenhum","nenhum",1,"Bom"
"54",54,"Inexistente",18,"Pago em dia",3378,2,"nenhum","nenhum",1,"Bom"
"55",55,"Regular",36,"Pago mas já esteve em atraso",2225,4,"nenhum","banco",2,"Ruim"
"56",56,"Inexistente",6,"Quitados",783,1,"fiador","lojas",1,"Bom"
"57",57,"Regular",12,"Pago em dia",6468,2,"nenhum","nenhum",1,"Ruim"
"58",58,"Inexistente",36,"Pendente (outros bancos)",9566,2,"nenhum","lojas",2,"Bom"
"59",59,"Alto",18,"Pago em dia",1961,3,"nenhum","nenhum",1,"Bom"
"60",60,"Negativo",36,"Pendente (outros bancos)",6229,4,"co-requerente","nenhum",2,"Ruim"
"61",61,"Regular",9,"Pago em dia",1391,2,"nenhum","banco",1,"Bom"
"62",62,"Regular",15,"Pendente (outros bancos)",1537,4,"fiador","nenhum",2,"Bom"
"63",63,"Regular",36,"Quitados",1953,4,"nenhum","nenhum",1,"Ruim"
"64",64,"Regular",48,"Quitados",14421,2,"nenhum","nenhum",1,"Ruim"
"65",65,"Inexistente",24,"Pago em dia",3181,4,"nenhum","nenhum",1,"Bom"
"66",66,"Inexistente",27,"Pago em dia",5190,4,"nenhum","nenhum",4,"Bom"
"67",67,"Inexistente",12,"Pago em dia",2171,2,"nenhum","banco",1,"Bom"
"68",68,"Regular",12,"Pago em dia",1007,4,"nenhum","nenhum",1,"Bom"
"69",69,"Inexistente",36,"Pago em dia",1819,4,"nenhum","lojas",1,"Ruim"
"70",70,"Inexistente",36,"Pago em dia",2394,4,"nenhum","nenhum",1,"Bom"
"71",71,"Inexistente",36,"Pago em dia",8133,1,"nenhum","banco",1,"Bom"
"72",72,"Inexistente",7,"Pendente (outros bancos)",730,4,"nenhum","nenhum",2,"Bom"
"73",73,"Negativo",8,"Pendente (outros bancos)",1164,3,"nenhum","banco",2,"Bom"
"74",74,"Regular",42,"Pendente (outros bancos)",5954,2,"nenhum","banco",2,"Bom"
"75",75,"Negativo",36,"Pago em dia",1977,4,"nenhum","nenhum",1,"Ruim"
"76",76,"Negativo",12,"Pendente (outros bancos)",1526,4,"nenhum","nenhum",2,"Bom"
"77",77,"Negativo",42,"Pago em dia",3965,4,"nenhum","nenhum",1,"Ruim"
"78",78,"Regular",11,"Pago mas já esteve em atraso",4771,2,"nenhum","nenhum",1,"Bom"
"79",79,"Inexistente",54,"Quitados",9436,2,"nenhum","nenhum",1,"Bom"
"80",80,"Regular",30,"Pago em dia",3832,2,"nenhum","nenhum",1,"Bom"
"81",81,"Inexistente",24,"Pago em dia",5943,1,"nenhum","nenhum",2,"Ruim"
"82",82,"Inexistente",15,"Pago em dia",1213,4,"nenhum","lojas",1,"Bom"
"83",83,"Inexistente",18,"Pago em dia",1568,3,"nenhum","nenhum",1,"Bom"
"84",84,"Negativo",24,"Pago em dia",1755,4,"fiador","nenhum",1,"Bom"
"85",85,"Negativo",10,"Pago em dia",2315,3,"nenhum","nenhum",1,"Bom"
"86",86,"Inexistente",12,"Pendente (outros bancos)",1412,4,"fiador","nenhum",2,"Bom"
"87",87,"Regular",18,"Pendente (outros bancos)",1295,4,"nenhum","nenhum",2,"Bom"
"88",88,"Regular",36,"Pago em dia",12612,1,"nenhum","nenhum",1,"Ruim"
"89",89,"Negativo",18,"Pago em dia",2249,4,"nenhum","nenhum",1,"Bom"
"90",90,"Negativo",12,"Quitados",1108,4,"nenhum","nenhum",2,"Ruim"
"91",91,"Inexistente",12,"Pendente (outros bancos)",618,4,"nenhum","nenhum",1,"Bom"
"92",92,"Negativo",12,"Pendente (outros bancos)",1409,4,"nenhum","nenhum",1,"Bom"
"93",93,"Inexistente",12,"Pendente (outros bancos)",797,4,"nenhum","banco",1,"Ruim"
"94",94,"Alto",24,"Pendente (outros bancos)",3617,4,"co-requerente","nenhum",2,"Bom"
"95",95,"Regular",12,"Pago em dia",1318,4,"nenhum","nenhum",1,"Bom"
"96",96,"Regular",54,"Quitados",15945,3,"nenhum","nenhum",1,"Ruim"
"97",97,"Inexistente",12,"Pendente (outros bancos)",2012,4,"nenhum","nenhum",1,"Bom"
"98",98,"Regular",18,"Pago em dia",2622,4,"nenhum","nenhum",1,"Bom"
"99",99,"Regular",36,"Pendente (outros bancos)",2337,4,"nenhum","nenhum",1,"Bom"
"100",100,"Regular",20,"Pago mas já esteve em atraso",7057,3,"nenhum","banco",2,"Bom"
"101",101,"Inexistente",24,"Pago em dia",1469,4,"nenhum","nenhum",1,"Bom"
"102",102,"Regular",36,"Pago em dia",2323,4,"nenhum","nenhum",1,"Bom"
"103",103,"Inexistente",6,"Pago mas já esteve em atraso",932,3,"nenhum","nenhum",1,"Bom"
"104",104,"Regular",9,"Pendente (outros bancos)",1919,4,"nenhum","nenhum",1,"Bom"
"105",105,"Inexistente",12,"Pago em dia",2445,2,"nenhum","nenhum",1,"Bom"
"106",106,"Regular",24,"Pendente (outros bancos)",11938,2,"co-requerente","nenhum",2,"Ruim"
"107",107,"Inexistente",18,"Quitados",6458,2,"nenhum","banco",2,"Ruim"
"108",108,"Regular",12,"Pago em dia",6078,2,"nenhum","nenhum",1,"Bom"
"109",109,"Negativo",24,"Pago em dia",7721,1,"nenhum","nenhum",1,"Bom"
"110",110,"Regular",14,"Pago em dia",1410,1,"nenhum","nenhum",1,"Bom"
"111",111,"Regular",6,"Pago mas já esteve em atraso",1449,1,"nenhum","banco",2,"Bom"
"112",112,"Alto",15,"Pago em dia",392,4,"nenhum","nenhum",1,"Bom"
"113",113,"Regular",18,"Pago em dia",6260,3,"nenhum","nenhum",1,"Bom"
"114",114,"Inexistente",36,"Pendente (outros bancos)",7855,4,"nenhum","lojas",2,"Ruim"
"115",115,"Negativo",12,"Pago em dia",1680,3,"nenhum","nenhum",1,"Bom"
"116",116,"Inexistente",48,"Pendente (outros bancos)",3578,4,"nenhum","nenhum",1,"Bom"
"117",117,"Negativo",42,"Pago em dia",7174,4,"nenhum","nenhum",1,"Ruim"
"118",118,"Negativo",10,"Pendente (outros bancos)",2132,2,"co-requerente","nenhum",2,"Bom"
"119",119,"Negativo",33,"Pendente (outros bancos)",4281,1,"nenhum","nenhum",2,"Ruim"
"120",120,"Regular",12,"Pendente (outros bancos)",2366,3,"nenhum","nenhum",1,"Bom"
"121",121,"Negativo",21,"Pago em dia",1835,3,"nenhum","nenhum",2,"Ruim"
"122",122,"Inexistente",24,"Pendente (outros bancos)",3868,4,"nenhum","nenhum",2,"Bom"
"123",123,"Inexistente",12,"Pago em dia",1768,3,"nenhum","nenhum",1,"Bom"
"124",124,"Alto",10,"Pendente (outros bancos)",781,4,"nenhum","nenhum",2,"Bom"
"125",125,"Regular",18,"Pago em dia",1924,4,"nenhum","nenhum",1,"Ruim"
"126",126,"Negativo",12,"Pendente (outros bancos)",2121,4,"nenhum","nenhum",2,"Bom"
"127",127,"Negativo",12,"Pago em dia",701,4,"nenhum","nenhum",1,"Bom"
"128",128,"Regular",12,"Pago em dia",639,4,"nenhum","nenhum",1,"Ruim"
"129",129,"Regular",12,"Pendente (outros bancos)",1860,4,"nenhum","nenhum",2,"Bom"
"130",130,"Negativo",12,"Pendente (outros bancos)",3499,3,"co-requerente","nenhum",2,"Ruim"
"131",131,"Regular",48,"Pago em dia",8487,1,"nenhum","nenhum",1,"Bom"
"132",132,"Negativo",36,"Pago mas já esteve em atraso",6887,4,"nenhum","lojas",1,"Ruim"
"133",133,"Inexistente",15,"Pago em dia",2708,2,"nenhum","banco",2,"Bom"
"134",134,"Inexistente",18,"Pago em dia",1984,4,"nenhum","banco",2,"Bom"
"135",135,"Inexistente",60,"Pago em dia",10144,2,"nenhum","nenhum",1,"Bom"
"136",136,"Inexistente",12,"Pendente (outros bancos)",1240,4,"nenhum","nenhum",2,"Bom"
"137",137,"Inexistente",27,"Pago mas já esteve em atraso",8613,2,"nenhum","nenhum",2,"Bom"
"138",138,"Regular",12,"Pago em dia",766,4,"nenhum","nenhum",1,"Ruim"
"139",139,"Regular",15,"Pendente (outros bancos)",2728,4,"fiador","banco",3,"Bom"
"140",140,"Alto",12,"Pago em dia",1881,2,"nenhum","nenhum",1,"Bom"
"141",141,"Alto",6,"Pago em dia",709,2,"nenhum","nenhum",1,"Bom"
"142",142,"Regular",36,"Pago em dia",4795,4,"nenhum","nenhum",1,"Bom"
"143",143,"Negativo",27,"Pago em dia",3416,3,"nenhum","nenhum",1,"Bom"
"144",144,"Negativo",18,"Pago em dia",2462,2,"nenhum","nenhum",1,"Ruim"
"145",145,"Inexistente",21,"Pendente (outros bancos)",2288,4,"nenhum","nenhum",1,"Bom"
"146",146,"Regular",48,"Quitados",3566,4,"nenhum","nenhum",1,"Bom"
"147",147,"Negativo",6,"Pendente (outros bancos)",860,1,"nenhum","nenhum",2,"Bom"
"148",148,"Inexistente",12,"Pendente (outros bancos)",682,4,"nenhum","nenhum",2,"Bom"
"149",149,"Negativo",36,"Pendente (outros bancos)",5371,3,"fiador","nenhum",2,"Bom"
"150",150,"Inexistente",18,"Pendente (outros bancos)",1582,4,"nenhum","nenhum",2,"Bom"
"151",151,"Inexistente",6,"Pago em dia",1346,2,"nenhum","banco",1,"Bom"
"152",152,"Inexistente",10,"Pago em dia",1924,1,"nenhum","nenhum",1,"Bom"
"153",153,"Alto",36,"Pago em dia",5848,4,"nenhum","nenhum",1,"Bom"
"154",154,"Regular",24,"Pendente (outros bancos)",7758,2,"nenhum","nenhum",1,"Bom"
"155",155,"Regular",24,"Pago mas já esteve em atraso",6967,4,"nenhum","nenhum",1,"Bom"
"156",156,"Negativo",12,"Pago em dia",1282,2,"nenhum","nenhum",1,"Ruim"
"157",157,"Negativo",9,"Pendente (outros bancos)",1288,3,"fiador","nenhum",2,"Bom"
"158",158,"Negativo",12,"Quitados",339,4,"nenhum","banco",1,"Bom"
"159",159,"Regular",24,"Pago em dia",3512,2,"nenhum","banco",2,"Bom"
"160",160,"Inexistente",6,"Pendente (outros bancos)",1898,1,"nenhum","nenhum",2,"Bom"
"161",161,"Inexistente",24,"Pendente (outros bancos)",2872,3,"nenhum","nenhum",1,"Bom"
"162",162,"Inexistente",18,"Pendente (outros bancos)",1055,4,"nenhum","nenhum",2,"Bom"
"163",163,"Inexistente",15,"Pago em dia",1262,4,"nenhum","nenhum",2,"Bom"
"164",164,"Regular",10,"Pago em dia",7308,2,"nenhum","banco",1,"Bom"
"165",165,"Inexistente",36,"Pago em dia",909,4,"nenhum","nenhum",1,"Bom"
"166",166,"Inexistente",6,"Pago em dia",2978,1,"nenhum","nenhum",1,"Bom"
"167",167,"Negativo",18,"Pago em dia",1131,4,"nenhum","nenhum",1,"Ruim"
"168",168,"Regular",11,"Pago em dia",1577,4,"nenhum","nenhum",1,"Bom"
"169",169,"Inexistente",24,"Pago em dia",3972,2,"nenhum","nenhum",1,"Bom"
"170",170,"Regular",24,"Pendente (outros bancos)",1935,4,"nenhum","nenhum",2,"Ruim"
"171",171,"Negativo",15,"Quitados",950,4,"nenhum","nenhum",2,"Ruim"
"172",172,"Inexistente",12,"Pago em dia",763,4,"nenhum","nenhum",1,"Bom"
"173",173,"Regular",24,"Pago mas já esteve em atraso",2064,3,"nenhum","nenhum",1,"Ruim"
"174",174,"Regular",8,"Pago em dia",1414,4,"fiador","nenhum",1,"Bom"
"175",175,"Negativo",21,"Pago mas já esteve em atraso",3414,2,"nenhum","nenhum",2,"Ruim"
"176",176,"Inexistente",30,"Quitados",7485,4,"nenhum","banco",1,"Ruim"
"177",177,"Negativo",12,"Pago em dia",2577,2,"nenhum","nenhum",1,"Bom"
"178",178,"Negativo",6,"Pendente (outros bancos)",338,4,"nenhum","nenhum",2,"Bom"
"179",179,"Inexistente",12,"Pago em dia",1963,4,"nenhum","nenhum",2,"Bom"
"180",180,"Negativo",21,"Pendente (outros bancos)",571,4,"nenhum","nenhum",2,"Bom"
"181",181,"Inexistente",36,"Pago mas já esteve em atraso",9572,1,"nenhum","nenhum",2,"Ruim"
"182",182,"Regular",36,"Pago mas já esteve em atraso",4455,2,"nenhum","lojas",2,"Ruim"
"183",183,"Negativo",21,"Quitados",1647,4,"nenhum","nenhum",2,"Ruim"
"184",184,"Inexistente",24,"Pendente (outros bancos)",3777,4,"nenhum","nenhum",1,"Bom"
"185",185,"Regular",18,"Pendente (outros bancos)",884,4,"nenhum","banco",1,"Ruim"
"186",186,"Inexistente",15,"Pendente (outros bancos)",1360,4,"nenhum","nenhum",2,"Bom"
"187",187,"Regular",9,"Quitados",5129,2,"nenhum","banco",1,"Ruim"
"188",188,"Regular",16,"Pendente (outros bancos)",1175,2,"nenhum","nenhum",3,"Bom"
"189",189,"Negativo",12,"Pago em dia",674,4,"nenhum","nenhum",1,"Ruim"
"190",190,"Regular",18,"Quitados",3244,1,"nenhum","banco",2,"Bom"
"191",191,"Inexistente",24,"Pago em dia",4591,2,"nenhum","nenhum",3,"Ruim"
"192",192,"Regular",48,"Quitados",3844,4,"nenhum","nenhum",1,"Ruim"
"193",193,"Regular",27,"Pago em dia",3915,4,"nenhum","nenhum",1,"Ruim"
"194",194,"Inexistente",6,"Pago em dia",2108,2,"nenhum","nenhum",1,"Bom"
"195",195,"Regular",45,"Pago em dia",3031,4,"fiador","nenhum",1,"Ruim"
"196",196,"Regular",9,"Pendente (outros bancos)",1501,2,"nenhum","nenhum",2,"Ruim"
"197",197,"Inexistente",6,"Pendente (outros bancos)",1382,1,"nenhum","nenhum",2,"Bom"
"198",198,"Regular",12,"Pago em dia",951,4,"nenhum","banco",4,"Ruim"
"199",199,"Regular",24,"Pago em dia",2760,4,"nenhum","banco",1,"Bom"
"200",200,"Regular",18,"Pago mas já esteve em atraso",4297,4,"nenhum","nenhum",1,"Ruim"
"201",201,"Inexistente",9,"Pendente (outros bancos)",936,4,"nenhum","nenhum",2,"Bom"
"202",202,"Negativo",12,"Pago em dia",1168,4,"nenhum","nenhum",1,"Bom"
"203",203,"Inexistente",27,"Pago mas já esteve em atraso",5117,3,"nenhum","nenhum",2,"Bom"
"204",204,"Negativo",12,"Pago em dia",902,4,"nenhum","nenhum",1,"Ruim"
"205",205,"Inexistente",12,"Pendente (outros bancos)",1495,4,"nenhum","nenhum",2,"Bom"
"206",206,"Negativo",30,"Pendente (outros bancos)",10623,3,"nenhum","nenhum",3,"Bom"
"207",207,"Inexistente",12,"Pendente (outros bancos)",1935,4,"nenhum","nenhum",3,"Bom"
"208",208,"Regular",12,"Pendente (outros bancos)",1424,4,"nenhum","nenhum",1,"Bom"
"209",209,"Negativo",24,"Pago em dia",6568,2,"nenhum","lojas",1,"Bom"
"210",210,"Inexistente",12,"Pago em dia",1413,3,"nenhum","nenhum",1,"Bom"
"211",211,"Inexistente",9,"Pendente (outros bancos)",3074,1,"nenhum","nenhum",2,"Bom"
"212",212,"Inexistente",36,"Pago em dia",3835,2,"nenhum","nenhum",1,"Bom"
"213",213,"Negativo",27,"Quitados",5293,2,"nenhum","lojas",2,"Ruim"
"214",214,"Alto",30,"Pago mas já esteve em atraso",1908,4,"nenhum","nenhum",1,"Ruim"
"215",215,"Inexistente",36,"Pendente (outros bancos)",3342,4,"nenhum","nenhum",1,"Bom"
"216",216,"Regular",6,"Pendente (outros bancos)",932,1,"nenhum","nenhum",2,"Bom"
"217",217,"Negativo",18,"Quitados",3104,3,"nenhum","banco",1,"Bom"
"218",218,"Alto",36,"Pago em dia",3913,2,"nenhum","nenhum",1,"Bom"
"219",219,"Negativo",24,"Pago em dia",3021,2,"nenhum","nenhum",1,"Bom"
"220",220,"Inexistente",10,"Pago em dia",1364,2,"nenhum","nenhum",1,"Bom"
"221",221,"Regular",12,"Pago em dia",625,4,"fiador","banco",1,"Bom"
"222",222,"Negativo",12,"Pago em dia",1200,4,"nenhum","banco",1,"Bom"
"223",223,"Inexistente",12,"Pago em dia",707,4,"nenhum","banco",2,"Bom"
"224",224,"Inexistente",24,"Pago mas já esteve em atraso",2978,4,"nenhum","nenhum",2,"Bom"
"225",225,"Inexistente",15,"Pago em dia",4657,3,"nenhum","nenhum",1,"Bom"
"226",226,"Inexistente",36,"Quitados",2613,4,"nenhum","nenhum",2,"Bom"
"227",227,"Regular",48,"Pago em dia",10961,1,"co-requerente","banco",2,"Ruim"
"228",228,"Negativo",12,"Pago em dia",7865,4,"nenhum","nenhum",1,"Ruim"
"229",229,"Inexistente",9,"Pago em dia",1478,4,"nenhum","nenhum",1,"Ruim"
"230",230,"Negativo",24,"Pago em dia",3149,4,"nenhum","banco",1,"Bom"
"231",231,"Alto",36,"Pago em dia",4210,4,"nenhum","nenhum",1,"Ruim"
"232",232,"Inexistente",9,"Pago em dia",2507,2,"nenhum","nenhum",1,"Bom"
"233",233,"Inexistente",12,"Pago em dia",2141,3,"nenhum","nenhum",1,"Bom"
"234",234,"Regular",18,"Pago em dia",866,4,"fiador","nenhum",1,"Bom"
"235",235,"Inexistente",4,"Pendente (outros bancos)",1544,2,"nenhum","nenhum",3,"Bom"
"236",236,"Negativo",24,"Pago em dia",1823,4,"nenhum","lojas",1,"Ruim"
"237",237,"Regular",6,"Pago em dia",14555,1,"nenhum","nenhum",1,"Ruim"
"238",238,"Regular",21,"Pago em dia",2767,4,"nenhum","banco",2,"Ruim"
"239",239,"Inexistente",12,"Pendente (outros bancos)",1291,4,"nenhum","nenhum",2,"Bom"
"240",240,"Negativo",30,"Pago em dia",2522,1,"fiador","nenhum",1,"Bom"
"241",241,"Negativo",24,"Pago em dia",915,4,"nenhum","banco",1,"Ruim"
"242",242,"Inexistente",6,"Pago em dia",1595,3,"nenhum","nenhum",1,"Bom"
"243",243,"Negativo",48,"Quitados",4605,3,"nenhum","nenhum",2,"Ruim"
"244",244,"Inexistente",12,"Pendente (outros bancos)",1185,3,"nenhum","nenhum",2,"Bom"
"245",245,"Inexistente",12,"Quitados",3447,4,"nenhum","nenhum",1,"Bom"
"246",246,"Inexistente",24,"Pago em dia",1258,4,"nenhum","nenhum",1,"Bom"
"247",247,"Inexistente",12,"Pendente (outros bancos)",717,4,"nenhum","nenhum",3,"Bom"
"248",248,"Inexistente",6,"Quitados",1204,4,"nenhum","banco",1,"Bom"
"249",249,"Alto",24,"Pago em dia",1925,2,"nenhum","nenhum",1,"Bom"
"250",250,"Inexistente",18,"Pago em dia",433,3,"co-requerente","nenhum",1,"Ruim"
"251",251,"Negativo",6,"Pendente (outros bancos)",666,3,"nenhum","nenhum",2,"Bom"
