ID,status_conta,duracao_mes,hist_credito,qtdd_credito,percen_tx_rendim_disp,dev_fiadores,outros_par,n_creditos,classe
1,Negativo,6,conta crítica/outros créditos existentes (não neste banco),1169,4,nenhum,nenhum,2,Bom
2,Regular,48,créditos existentes pagos devidamente até agora,5951,2,nenhum,nenhum,1,Ruim
3,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),2096,2,nenhum,nenhum,1,Bom
4,Negativo,42,créditos existentes pagos devidamente até agora,7882,2,fiador,nenhum,1,Bom
5,Negativo,24,atraso no pagamento no passado,4870,3,nenhum,nenhum,2,Ruim
6,Inexistente,36,créditos existentes pagos devidamente até agora,9055,2,nenhum,nenhum,1,Bom
7,Inexistente,24,créditos existentes pagos devidamente até agora,2835,3,nenhum,nenhum,1,Bom
8,Regular,36,créditos existentes pagos devidamente até agora,6948,2,nenhum,nenhum,1,Bom
9,Inexistente,12,créditos existentes pagos devidamente até agora,3059,2,nenhum,nenhum,1,Bom
10,Regular,30,conta crítica/outros créditos existentes (não neste banco),5234,4,nenhum,nenhum,2,Ruim
11,Regular,12,créditos existentes pagos devidamente até agora,1295,3,nenhum,nenhum,1,Ruim
12,Negativo,48,créditos existentes pagos devidamente até agora,4308,3,nenhum,nenhum,1,Ruim
13,Regular,12,créditos existentes pagos devidamente até agora,1567,1,nenhum,nenhum,1,Bom
14,Negativo,24,conta crítica/outros créditos existentes (não neste banco),1199,4,nenhum,nenhum,2,Ruim
15,Negativo,15,créditos existentes pagos devidamente até agora,1403,2,nenhum,nenhum,1,Bom
16,Negativo,24,créditos existentes pagos devidamente até agora,1282,4,nenhum,nenhum,1,Ruim
17,Inexistente,24,conta crítica/outros créditos existentes (não neste banco),2424,4,nenhum,nenhum,2,Bom
18,Negativo,30,nenhum crédito obtido/todos os créditos pagos devidamente,8072,2,nenhum,banco,3,Bom
19,Regular,24,créditos existentes pagos devidamente até agora,12579,4,nenhum,nenhum,1,Ruim
20,Inexistente,24,créditos existentes pagos devidamente até agora,3430,3,nenhum,nenhum,1,Bom
21,Inexistente,9,conta crítica/outros créditos existentes (não neste banco),2134,4,nenhum,nenhum,3,Bom
22,Negativo,6,créditos existentes pagos devidamente até agora,2647,2,nenhum,nenhum,1,Bom
23,Negativo,10,conta crítica/outros créditos existentes (não neste banco),2241,1,nenhum,nenhum,2,Bom
24,Regular,12,conta crítica/outros créditos existentes (não neste banco),1804,3,nenhum,nenhum,1,Bom
25,Inexistente,10,conta crítica/outros créditos existentes (não neste banco),2069,2,nenhum,nenhum,2,Bom
26,Negativo,6,créditos existentes pagos devidamente até agora,1374,1,nenhum,banco,1,Bom
27,Inexistente,6,nenhum crédito obtido/todos os créditos pagos devidamente,426,4,nenhum,nenhum,1,Bom
28,Alto,12,todos os créditos deste banco foram devidamente pagos,409,3,nenhum,nenhum,2,Bom
29,Regular,7,créditos existentes pagos devidamente até agora,2415,3,fiador,nenhum,1,Bom
30,Negativo,60,atraso no pagamento no passado,6836,3,nenhum,nenhum,2,Ruim
31,Regular,18,créditos existentes pagos devidamente até agora,1913,3,nenhum,banco,1,Bom
32,Negativo,24,créditos existentes pagos devidamente até agora,4020,2,nenhum,lojas,1,Bom
33,Regular,18,créditos existentes pagos devidamente até agora,5866,2,nenhum,nenhum,2,Bom
34,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),1264,4,nenhum,nenhum,1,Bom
35,Alto,12,créditos existentes pagos devidamente até agora,1474,4,nenhum,banco,1,Bom
36,Regular,45,conta crítica/outros créditos existentes (não neste banco),4746,4,nenhum,nenhum,2,Ruim
37,Inexistente,48,conta crítica/outros créditos existentes (não neste banco),6110,1,nenhum,banco,1,Bom
38,Alto,18,créditos existentes pagos devidamente até agora,2100,4,co-requerente,lojas,1,Ruim
39,Alto,10,créditos existentes pagos devidamente até agora,1225,2,nenhum,nenhum,1,Bom
40,Regular,9,créditos existentes pagos devidamente até agora,458,4,nenhum,nenhum,1,Bom
41,Inexistente,30,créditos existentes pagos devidamente até agora,2333,4,nenhum,banco,1,Bom
42,Regular,12,créditos existentes pagos devidamente até agora,1158,3,nenhum,nenhum,1,Bom
43,Regular,18,atraso no pagamento no passado,6204,2,nenhum,nenhum,1,Bom
44,Negativo,30,conta crítica/outros créditos existentes (não neste banco),6187,1,nenhum,nenhum,2,Bom
45,Negativo,48,conta crítica/outros créditos existentes (não neste banco),6143,4,nenhum,lojas,2,Ruim
46,Inexistente,11,conta crítica/outros créditos existentes (não neste banco),1393,4,nenhum,nenhum,2,Bom
47,Inexistente,36,créditos existentes pagos devidamente até agora,2299,4,nenhum,nenhum,1,Bom
48,Negativo,6,créditos existentes pagos devidamente até agora,1352,1,nenhum,nenhum,1,Bom
49,Inexistente,11,conta crítica/outros créditos existentes (não neste banco),7228,1,nenhum,nenhum,2,Bom
50,Inexistente,12,créditos existentes pagos devidamente até agora,2073,4,co-requerente,nenhum,1,Bom
51,Regular,24,atraso no pagamento no passado,2333,4,nenhum,banco,1,Bom
52,Regular,27,atraso no pagamento no passado,5965,1,nenhum,nenhum,2,Bom
53,Inexistente,12,créditos existentes pagos devidamente até agora,1262,3,nenhum,nenhum,1,Bom
54,Inexistente,18,créditos existentes pagos devidamente até agora,3378,2,nenhum,nenhum,1,Bom
55,Regular,36,atraso no pagamento no passado,2225,4,nenhum,banco,2,Ruim
56,Inexistente,6,todos os créditos deste banco foram devidamente pagos,783,1,fiador,lojas,1,Bom
57,Regular,12,créditos existentes pagos devidamente até agora,6468,2,nenhum,nenhum,1,Ruim
58,Inexistente,36,conta crítica/outros créditos existentes (não neste banco),9566,2,nenhum,lojas,2,Bom
59,Alto,18,créditos existentes pagos devidamente até agora,1961,3,nenhum,nenhum,1,Bom
60,Negativo,36,conta crítica/outros créditos existentes (não neste banco),6229,4,co-requerente,nenhum,2,Ruim
61,Regular,9,créditos existentes pagos devidamente até agora,1391,2,nenhum,banco,1,Bom
62,Regular,15,conta crítica/outros créditos existentes (não neste banco),1537,4,fiador,nenhum,2,Bom
63,Regular,36,nenhum crédito obtido/todos os créditos pagos devidamente,1953,4,nenhum,nenhum,1,Ruim
64,Regular,48,nenhum crédito obtido/todos os créditos pagos devidamente,14421,2,nenhum,nenhum,1,Ruim
65,Inexistente,24,créditos existentes pagos devidamente até agora,3181,4,nenhum,nenhum,1,Bom
66,Inexistente,27,créditos existentes pagos devidamente até agora,5190,4,nenhum,nenhum,4,Bom
67,Inexistente,12,créditos existentes pagos devidamente até agora,2171,2,nenhum,banco,1,Bom
68,Regular,12,créditos existentes pagos devidamente até agora,1007,4,nenhum,nenhum,1,Bom
69,Inexistente,36,créditos existentes pagos devidamente até agora,1819,4,nenhum,lojas,1,Ruim
70,Inexistente,36,créditos existentes pagos devidamente até agora,2394,4,nenhum,nenhum,1,Bom
71,Inexistente,36,créditos existentes pagos devidamente até agora,8133,1,nenhum,banco,1,Bom
72,Inexistente,7,conta crítica/outros créditos existentes (não neste banco),730,4,nenhum,nenhum,2,Bom
73,Negativo,8,conta crítica/outros créditos existentes (não neste banco),1164,3,nenhum,banco,2,Bom
74,Regular,42,conta crítica/outros créditos existentes (não neste banco),5954,2,nenhum,banco,2,Bom
75,Negativo,36,créditos existentes pagos devidamente até agora,1977,4,nenhum,nenhum,1,Ruim
76,Negativo,12,conta crítica/outros créditos existentes (não neste banco),1526,4,nenhum,nenhum,2,Bom
77,Negativo,42,créditos existentes pagos devidamente até agora,3965,4,nenhum,nenhum,1,Ruim
78,Regular,11,atraso no pagamento no passado,4771,2,nenhum,nenhum,1,Bom
79,Inexistente,54,nenhum crédito obtido/todos os créditos pagos devidamente,9436,2,nenhum,nenhum,1,Bom
80,Regular,30,créditos existentes pagos devidamente até agora,3832,2,nenhum,nenhum,1,Bom
81,Inexistente,24,créditos existentes pagos devidamente até agora,5943,1,nenhum,nenhum,2,Ruim
82,Inexistente,15,créditos existentes pagos devidamente até agora,1213,4,nenhum,lojas,1,Bom
83,Inexistente,18,créditos existentes pagos devidamente até agora,1568,3,nenhum,nenhum,1,Bom
84,Negativo,24,créditos existentes pagos devidamente até agora,1755,4,fiador,nenhum,1,Bom
85,Negativo,10,créditos existentes pagos devidamente até agora,2315,3,nenhum,nenhum,1,Bom
86,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),1412,4,fiador,nenhum,2,Bom
87,Regular,18,conta crítica/outros créditos existentes (não neste banco),1295,4,nenhum,nenhum,2,Bom
88,Regular,36,créditos existentes pagos devidamente até agora,12612,1,nenhum,nenhum,1,Ruim
89,Negativo,18,créditos existentes pagos devidamente até agora,2249,4,nenhum,nenhum,1,Bom
90,Negativo,12,nenhum crédito obtido/todos os créditos pagos devidamente,1108,4,nenhum,nenhum,2,Ruim
91,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),618,4,nenhum,nenhum,1,Bom
92,Negativo,12,conta crítica/outros créditos existentes (não neste banco),1409,4,nenhum,nenhum,1,Bom
93,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),797,4,nenhum,banco,1,Ruim
94,Alto,24,conta crítica/outros créditos existentes (não neste banco),3617,4,co-requerente,nenhum,2,Bom
95,Regular,12,créditos existentes pagos devidamente até agora,1318,4,nenhum,nenhum,1,Bom
96,Regular,54,nenhum crédito obtido/todos os créditos pagos devidamente,15945,3,nenhum,nenhum,1,Ruim
97,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),2012,4,nenhum,nenhum,1,Bom
98,Regular,18,créditos existentes pagos devidamente até agora,2622,4,nenhum,nenhum,1,Bom
99,Regular,36,conta crítica/outros créditos existentes (não neste banco),2337,4,nenhum,nenhum,1,Bom
100,Regular,20,atraso no pagamento no passado,7057,3,nenhum,banco,2,Bom
101,Inexistente,24,créditos existentes pagos devidamente até agora,1469,4,nenhum,nenhum,1,Bom
102,Regular,36,créditos existentes pagos devidamente até agora,2323,4,nenhum,nenhum,1,Bom
103,Inexistente,6,atraso no pagamento no passado,932,3,nenhum,nenhum,1,Bom
104,Regular,9,conta crítica/outros créditos existentes (não neste banco),1919,4,nenhum,nenhum,1,Bom
105,Inexistente,12,créditos existentes pagos devidamente até agora,2445,2,nenhum,nenhum,1,Bom
106,Regular,24,conta crítica/outros créditos existentes (não neste banco),11938,2,co-requerente,nenhum,2,Ruim
107,Inexistente,18,todos os créditos deste banco foram devidamente pagos,6458,2,nenhum,banco,2,Ruim
108,Regular,12,créditos existentes pagos devidamente até agora,6078,2,nenhum,nenhum,1,Bom
109,Negativo,24,créditos existentes pagos devidamente até agora,7721,1,nenhum,nenhum,1,Bom
110,Regular,14,créditos existentes pagos devidamente até agora,1410,1,nenhum,nenhum,1,Bom
111,Regular,6,atraso no pagamento no passado,1449,1,nenhum,banco,2,Bom
112,Alto,15,créditos existentes pagos devidamente até agora,392,4,nenhum,nenhum,1,Bom
113,Regular,18,créditos existentes pagos devidamente até agora,6260,3,nenhum,nenhum,1,Bom
114,Inexistente,36,conta crítica/outros créditos existentes (não neste banco),7855,4,nenhum,lojas,2,Ruim
115,Negativo,12,créditos existentes pagos devidamente até agora,1680,3,nenhum,nenhum,1,Bom
116,Inexistente,48,conta crítica/outros créditos existentes (não neste banco),3578,4,nenhum,nenhum,1,Bom
117,Negativo,42,créditos existentes pagos devidamente até agora,7174,4,nenhum,nenhum,1,Ruim
118,Negativo,10,conta crítica/outros créditos existentes (não neste banco),2132,2,co-requerente,nenhum,2,Bom
119,Negativo,33,conta crítica/outros créditos existentes (não neste banco),4281,1,nenhum,nenhum,2,Ruim
120,Regular,12,conta crítica/outros créditos existentes (não neste banco),2366,3,nenhum,nenhum,1,Bom
121,Negativo,21,créditos existentes pagos devidamente até agora,1835,3,nenhum,nenhum,2,Ruim
122,Inexistente,24,conta crítica/outros créditos existentes (não neste banco),3868,4,nenhum,nenhum,2,Bom
123,Inexistente,12,créditos existentes pagos devidamente até agora,1768,3,nenhum,nenhum,1,Bom
124,Alto,10,conta crítica/outros créditos existentes (não neste banco),781,4,nenhum,nenhum,2,Bom
125,Regular,18,créditos existentes pagos devidamente até agora,1924,4,nenhum,nenhum,1,Ruim
126,Negativo,12,conta crítica/outros créditos existentes (não neste banco),2121,4,nenhum,nenhum,2,Bom
127,Negativo,12,créditos existentes pagos devidamente até agora,701,4,nenhum,nenhum,1,Bom
128,Regular,12,créditos existentes pagos devidamente até agora,639,4,nenhum,nenhum,1,Ruim
129,Regular,12,conta crítica/outros créditos existentes (não neste banco),1860,4,nenhum,nenhum,2,Bom
130,Negativo,12,conta crítica/outros créditos existentes (não neste banco),3499,3,co-requerente,nenhum,2,Ruim
131,Regular,48,créditos existentes pagos devidamente até agora,8487,1,nenhum,nenhum,1,Bom
132,Negativo,36,atraso no pagamento no passado,6887,4,nenhum,lojas,1,Ruim
133,Inexistente,15,créditos existentes pagos devidamente até agora,2708,2,nenhum,banco,2,Bom
134,Inexistente,18,créditos existentes pagos devidamente até agora,1984,4,nenhum,banco,2,Bom
135,Inexistente,60,créditos existentes pagos devidamente até agora,10144,2,nenhum,nenhum,1,Bom
136,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),1240,4,nenhum,nenhum,2,Bom
137,Inexistente,27,atraso no pagamento no passado,8613,2,nenhum,nenhum,2,Bom
138,Regular,12,créditos existentes pagos devidamente até agora,766,4,nenhum,nenhum,1,Ruim
139,Regular,15,conta crítica/outros créditos existentes (não neste banco),2728,4,fiador,banco,3,Bom
140,Alto,12,créditos existentes pagos devidamente até agora,1881,2,nenhum,nenhum,1,Bom
141,Alto,6,créditos existentes pagos devidamente até agora,709,2,nenhum,nenhum,1,Bom
142,Regular,36,créditos existentes pagos devidamente até agora,4795,4,nenhum,nenhum,1,Bom
143,Negativo,27,créditos existentes pagos devidamente até agora,3416,3,nenhum,nenhum,1,Bom
144,Negativo,18,créditos existentes pagos devidamente até agora,2462,2,nenhum,nenhum,1,Ruim
145,Inexistente,21,conta crítica/outros créditos existentes (não neste banco),2288,4,nenhum,nenhum,1,Bom
146,Regular,48,todos os créditos deste banco foram devidamente pagos,3566,4,nenhum,nenhum,1,Bom
147,Negativo,6,conta crítica/outros créditos existentes (não neste banco),860,1,nenhum,nenhum,2,Bom
148,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),682,4,nenhum,nenhum,2,Bom
149,Negativo,36,conta crítica/outros créditos existentes (não neste banco),5371,3,fiador,nenhum,2,Bom
150,Inexistente,18,conta crítica/outros créditos existentes (não neste banco),1582,4,nenhum,nenhum,2,Bom
151,Inexistente,6,créditos existentes pagos devidamente até agora,1346,2,nenhum,banco,1,Bom
152,Inexistente,10,créditos existentes pagos devidamente até agora,1924,1,nenhum,nenhum,1,Bom
153,Alto,36,créditos existentes pagos devidamente até agora,5848,4,nenhum,nenhum,1,Bom
154,Regular,24,conta crítica/outros créditos existentes (não neste banco),7758,2,nenhum,nenhum,1,Bom
155,Regular,24,atraso no pagamento no passado,6967,4,nenhum,nenhum,1,Bom
156,Negativo,12,créditos existentes pagos devidamente até agora,1282,2,nenhum,nenhum,1,Ruim
157,Negativo,9,conta crítica/outros créditos existentes (não neste banco),1288,3,fiador,nenhum,2,Bom
158,Negativo,12,todos os créditos deste banco foram devidamente pagos,339,4,nenhum,banco,1,Bom
159,Regular,24,créditos existentes pagos devidamente até agora,3512,2,nenhum,banco,2,Bom
160,Inexistente,6,conta crítica/outros créditos existentes (não neste banco),1898,1,nenhum,nenhum,2,Bom
161,Inexistente,24,conta crítica/outros créditos existentes (não neste banco),2872,3,nenhum,nenhum,1,Bom
162,Inexistente,18,conta crítica/outros créditos existentes (não neste banco),1055,4,nenhum,nenhum,2,Bom
163,Inexistente,15,créditos existentes pagos devidamente até agora,1262,4,nenhum,nenhum,2,Bom
164,Regular,10,créditos existentes pagos devidamente até agora,7308,2,nenhum,banco,1,Bom
165,Inexistente,36,créditos existentes pagos devidamente até agora,909,4,nenhum,nenhum,1,Bom
166,Inexistente,6,créditos existentes pagos devidamente até agora,2978,1,nenhum,nenhum,1,Bom
167,Negativo,18,créditos existentes pagos devidamente até agora,1131,4,nenhum,nenhum,1,Ruim
168,Regular,11,créditos existentes pagos devidamente até agora,1577,4,nenhum,nenhum,1,Bom
169,Inexistente,24,créditos existentes pagos devidamente até agora,3972,2,nenhum,nenhum,1,Bom
170,Regular,24,conta crítica/outros créditos existentes (não neste banco),1935,4,nenhum,nenhum,2,Ruim
171,Negativo,15,nenhum crédito obtido/todos os créditos pagos devidamente,950,4,nenhum,nenhum,2,Ruim
172,Inexistente,12,créditos existentes pagos devidamente até agora,763,4,nenhum,nenhum,1,Bom
173,Regular,24,atraso no pagamento no passado,2064,3,nenhum,nenhum,1,Ruim
174,Regular,8,créditos existentes pagos devidamente até agora,1414,4,fiador,nenhum,1,Bom
175,Negativo,21,atraso no pagamento no passado,3414,2,nenhum,nenhum,2,Ruim
176,Inexistente,30,todos os créditos deste banco foram devidamente pagos,7485,4,nenhum,banco,1,Ruim
177,Negativo,12,créditos existentes pagos devidamente até agora,2577,2,nenhum,nenhum,1,Bom
178,Negativo,6,conta crítica/outros créditos existentes (não neste banco),338,4,nenhum,nenhum,2,Bom
179,Inexistente,12,créditos existentes pagos devidamente até agora,1963,4,nenhum,nenhum,2,Bom
180,Negativo,21,conta crítica/outros créditos existentes (não neste banco),571,4,nenhum,nenhum,2,Bom
181,Inexistente,36,atraso no pagamento no passado,9572,1,nenhum,nenhum,2,Ruim
182,Regular,36,atraso no pagamento no passado,4455,2,nenhum,lojas,2,Ruim
183,Negativo,21,todos os créditos deste banco foram devidamente pagos,1647,4,nenhum,nenhum,2,Ruim
184,Inexistente,24,conta crítica/outros créditos existentes (não neste banco),3777,4,nenhum,nenhum,1,Bom
185,Regular,18,conta crítica/outros créditos existentes (não neste banco),884,4,nenhum,banco,1,Ruim
186,Inexistente,15,conta crítica/outros créditos existentes (não neste banco),1360,4,nenhum,nenhum,2,Bom
187,Regular,9,todos os créditos deste banco foram devidamente pagos,5129,2,nenhum,banco,1,Ruim
188,Regular,16,conta crítica/outros créditos existentes (não neste banco),1175,2,nenhum,nenhum,3,Bom
189,Negativo,12,créditos existentes pagos devidamente até agora,674,4,nenhum,nenhum,1,Ruim
190,Regular,18,nenhum crédito obtido/todos os créditos pagos devidamente,3244,1,nenhum,banco,2,Bom
191,Inexistente,24,créditos existentes pagos devidamente até agora,4591,2,nenhum,nenhum,3,Ruim
192,Regular,48,nenhum crédito obtido/todos os créditos pagos devidamente,3844,4,nenhum,nenhum,1,Ruim
193,Regular,27,créditos existentes pagos devidamente até agora,3915,4,nenhum,nenhum,1,Ruim
194,Inexistente,6,créditos existentes pagos devidamente até agora,2108,2,nenhum,nenhum,1,Bom
195,Regular,45,créditos existentes pagos devidamente até agora,3031,4,fiador,nenhum,1,Ruim
196,Regular,9,conta crítica/outros créditos existentes (não neste banco),1501,2,nenhum,nenhum,2,Ruim
197,Inexistente,6,conta crítica/outros créditos existentes (não neste banco),1382,1,nenhum,nenhum,2,Bom
198,Regular,12,créditos existentes pagos devidamente até agora,951,4,nenhum,banco,4,Ruim
199,Regular,24,créditos existentes pagos devidamente até agora,2760,4,nenhum,banco,1,Bom
200,Regular,18,atraso no pagamento no passado,4297,4,nenhum,nenhum,1,Ruim
201,Inexistente,9,conta crítica/outros créditos existentes (não neste banco),936,4,nenhum,nenhum,2,Bom
202,Negativo,12,créditos existentes pagos devidamente até agora,1168,4,nenhum,nenhum,1,Bom
203,Inexistente,27,atraso no pagamento no passado,5117,3,nenhum,nenhum,2,Bom
204,Negativo,12,créditos existentes pagos devidamente até agora,902,4,nenhum,nenhum,1,Ruim
205,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),1495,4,nenhum,nenhum,2,Bom
206,Negativo,30,conta crítica/outros créditos existentes (não neste banco),10623,3,nenhum,nenhum,3,Bom
207,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),1935,4,nenhum,nenhum,3,Bom
208,Regular,12,conta crítica/outros créditos existentes (não neste banco),1424,4,nenhum,nenhum,1,Bom
209,Negativo,24,créditos existentes pagos devidamente até agora,6568,2,nenhum,lojas,1,Bom
210,Inexistente,12,créditos existentes pagos devidamente até agora,1413,3,nenhum,nenhum,1,Bom
211,Inexistente,9,conta crítica/outros créditos existentes (não neste banco),3074,1,nenhum,nenhum,2,Bom
212,Inexistente,36,créditos existentes pagos devidamente até agora,3835,2,nenhum,nenhum,1,Bom
213,Negativo,27,nenhum crédito obtido/todos os créditos pagos devidamente,5293,2,nenhum,lojas,2,Ruim
214,Alto,30,atraso no pagamento no passado,1908,4,nenhum,nenhum,1,Ruim
215,Inexistente,36,conta crítica/outros créditos existentes (não neste banco),3342,4,nenhum,nenhum,1,Bom
216,Regular,6,conta crítica/outros créditos existentes (não neste banco),932,1,nenhum,nenhum,2,Bom
217,Negativo,18,nenhum crédito obtido/todos os créditos pagos devidamente,3104,3,nenhum,banco,1,Bom
218,Alto,36,créditos existentes pagos devidamente até agora,3913,2,nenhum,nenhum,1,Bom
219,Negativo,24,créditos existentes pagos devidamente até agora,3021,2,nenhum,nenhum,1,Bom
220,Inexistente,10,créditos existentes pagos devidamente até agora,1364,2,nenhum,nenhum,1,Bom
221,Regular,12,créditos existentes pagos devidamente até agora,625,4,fiador,banco,1,Bom
222,Negativo,12,créditos existentes pagos devidamente até agora,1200,4,nenhum,banco,1,Bom
223,Inexistente,12,créditos existentes pagos devidamente até agora,707,4,nenhum,banco,2,Bom
224,Inexistente,24,atraso no pagamento no passado,2978,4,nenhum,nenhum,2,Bom
225,Inexistente,15,créditos existentes pagos devidamente até agora,4657,3,nenhum,nenhum,1,Bom
226,Inexistente,36,nenhum crédito obtido/todos os créditos pagos devidamente,2613,4,nenhum,nenhum,2,Bom
227,Regular,48,créditos existentes pagos devidamente até agora,10961,1,co-requerente,banco,2,Ruim
228,Negativo,12,créditos existentes pagos devidamente até agora,7865,4,nenhum,nenhum,1,Ruim
229,Inexistente,9,créditos existentes pagos devidamente até agora,1478,4,nenhum,nenhum,1,Ruim
230,Negativo,24,créditos existentes pagos devidamente até agora,3149,4,nenhum,banco,1,Bom
231,Alto,36,créditos existentes pagos devidamente até agora,4210,4,nenhum,nenhum,1,Ruim
232,Inexistente,9,créditos existentes pagos devidamente até agora,2507,2,nenhum,nenhum,1,Bom
233,Inexistente,12,créditos existentes pagos devidamente até agora,2141,3,nenhum,nenhum,1,Bom
234,Regular,18,créditos existentes pagos devidamente até agora,866,4,fiador,nenhum,1,Bom
235,Inexistente,4,conta crítica/outros créditos existentes (não neste banco),1544,2,nenhum,nenhum,3,Bom
236,Negativo,24,créditos existentes pagos devidamente até agora,1823,4,nenhum,lojas,1,Ruim
237,Regular,6,créditos existentes pagos devidamente até agora,14555,1,nenhum,nenhum,1,Ruim
238,Regular,21,créditos existentes pagos devidamente até agora,2767,4,nenhum,banco,2,Ruim
239,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),1291,4,nenhum,nenhum,2,Bom
240,Negativo,30,créditos existentes pagos devidamente até agora,2522,1,fiador,nenhum,1,Bom
241,Negativo,24,créditos existentes pagos devidamente até agora,915,4,nenhum,banco,1,Ruim
242,Inexistente,6,créditos existentes pagos devidamente até agora,1595,3,nenhum,nenhum,1,Bom
243,Negativo,48,nenhum crédito obtido/todos os créditos pagos devidamente,4605,3,nenhum,nenhum,2,Ruim
244,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),1185,3,nenhum,nenhum,2,Bom
245,Inexistente,12,todos os créditos deste banco foram devidamente pagos,3447,4,nenhum,nenhum,1,Bom
246,Inexistente,24,créditos existentes pagos devidamente até agora,1258,4,nenhum,nenhum,1,Bom
247,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),717,4,nenhum,nenhum,3,Bom
248,Inexistente,6,nenhum crédito obtido/todos os créditos pagos devidamente,1204,4,nenhum,banco,1,Bom
249,Alto,24,créditos existentes pagos devidamente até agora,1925,2,nenhum,nenhum,1,Bom
